Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,21.095,21.095,21.095,21.095,000,20.6742
2015-12-31,21.135,21.14,20.915,21.095,1680700,20.6742
2015-12-30,21.33,21.375,21.11,21.185,5476800,20.7624
2015-12-29,21.00,21.41,20.995,21.325,6261600,20.8996
2015-12-28,21.44,21.45,20.705,20.88,5168400,20.4635
2015-12-25,21.475,21.475,21.475,21.475,000,21.0466
2015-12-24,21.50,21.56,21.335,21.475,1891500,21.0466
2015-12-23,20.48,21.46,20.46,21.39,10315500,20.9633
2015-12-22,20.00,20.355,19.96,20.28,8812000,19.8755
2015-12-21,20.27,20.375,19.86,19.86,7597000,19.4638
2015-12-18,20.02,20.52,20.005,20.30,14613200,19.8951
2015-12-17,20.66,20.68,20.06,20.205,11613100,19.802
2015-12-16,20.50,20.61,20.185,20.265,10717200,19.8608
2015-12-15,19.915,20.545,19.89,20.37,12795300,19.9637
2015-12-14,20.475,20.53,19.575,19.635,15433300,19.2433
2015-12-11,21.12,21.20,20.275,20.355,15151700,19.949
2015-12-10,21.435,21.595,21.13,21.29,8237600,20.8653
2015-12-09,21.12,21.83,20.635,21.435,13674600,21.0074
2015-12-08,21.215,21.375,20.625,21.145,12925300,20.7232
2015-12-07,22.23,22.23,21.215,21.305,13646700,20.88
2015-12-04,22.715,23.19,21.97,22.21,14927300,21.767
2015-12-03,23.60,23.885,22.68,22.685,16835300,22.2325
2015-12-02,23.495,24.005,23.425,23.62,8395300,23.1488
2015-12-01,23.73,23.795,23.435,23.53,6428700,23.0606
2015-11-30,23.565,23.86,23.395,23.60,8469400,23.1292
2015-11-27,23.945,23.945,23.635,23.72,5631500,23.2468
2015-11-26,23.69,24.07,23.605,23.995,6762400,23.5163
2015-11-25,23.595,23.895,23.40,23.63,7925800,23.1586
2015-11-24,23.135,23.515,22.98,23.50,8938200,23.0312
2015-11-23,23.20,23.74,23.02,23.35,8316200,22.8842
2015-11-20,23.845,23.92,23.425,23.495,8684300,23.0263
2015-11-19,23.81,24.23,23.725,23.905,10348900,23.4281
2015-11-18,23.19,23.755,23.065,23.60,7087500,23.1292
2015-11-17,23.095,23.45,23.02,23.32,10520300,22.8548
2015-11-16,22.35,23.07,22.35,22.565,6702900,22.1149
2015-11-13,22.54,22.85,22.23,22.415,7540600,21.9679
2015-11-12,23.10,23.32,22.615,22.615,8924600,22.1639
2015-11-11,23.985,24.075,23.605,23.625,7560000,23.1537
2015-11-10,24.11,24.225,23.87,24.02,6671300,23.5408
2015-11-09,24.16,24.56,24.015,24.04,5638600,23.5605
2015-11-06,24.21,24.36,23.985,24.195,7776700,23.7124
2015-11-05,25.005,25.005,24.15,24.29,14225500,23.8055
2015-11-04,25.035,25.51,24.98,24.98,11614000,24.4817
2015-11-03,24.26,24.875,24.165,24.875,11384900,24.3788
2015-11-02,23.63,24.095,23.615,24.03,7407500,23.5507
2015-10-30,24.00,24.105,23.57,23.83,5990500,23.3546
2015-10-29,23.99,24.155,23.615,24.00,8994700,23.5212
2015-10-28,23.71,24.365,23.665,24.155,7526000,23.6732
2015-10-27,24.205,24.245,23.54,23.81,8275200,23.335
2015-10-26,24.595,24.74,24.24,24.265,6527100,23.781
2015-10-23,24.97,25.11,24.47,24.57,11784900,24.0799
2015-10-22,24.31,24.80,24.21,24.75,8150700,24.2563
2015-10-21,24.29,24.635,24.025,24.51,6547000,24.0211
2015-10-20,24.235,24.26,23.815,24.205,6352400,23.7222
2015-10-19,24.65,24.79,24.22,24.29,6389800,23.8055
2015-10-16,24.50,24.895,24.46,24.65,9573100,24.1583
2015-10-15,24.185,24.40,23.905,24.21,7370700,23.7271
2015-10-14,23.71,24.27,23.525,23.965,6896400,23.4869
2015-10-13,24.10,24.10,23.465,23.925,7924200,23.4477
2015-10-12,24.435,24.645,24.11,24.27,6286700,23.7859
2015-10-09,24.865,24.985,24.325,24.455,12268200,23.9672
2015-10-08,24.30,24.63,24.065,24.565,8646700,24.075
2015-10-07,24.035,24.74,23.89,24.34,18484600,23.8545
2015-10-06,23.00,23.795,22.615,23.67,12441100,23.1978
2015-10-05,22.375,22.95,22.255,22.95,11426200,22.4922
2015-10-02,21.74,22.35,21.505,21.865,10672200,21.4288
2015-10-01,21.455,22.10,21.455,21.605,9350500,21.174
2015-09-30,21.01,21.23,20.965,21.185,10595000,20.7624
2015-09-29,20.31,21.12,20.27,20.88,9796300,20.4635
2015-09-28,21.20,21.38,20.58,20.58,7349300,20.1695
2015-09-25,21.195,21.445,21.08,21.13,7692400,20.7085
2015-09-24,21.30,21.315,20.68,20.80,11325500,20.3851
2015-09-23,21.415,21.92,21.355,21.475,7189200,21.0466
2015-09-22,22.085,22.085,21.275,21.37,11098200,20.9437
2015-09-21,21.80,22.18,21.76,22.025,6860900,21.5856
2015-09-18,22.52,22.52,21.75,21.86,15467200,21.4239
2015-09-17,22.955,23.03,22.61,22.71,7054100,22.257
2015-09-16,22.40,22.96,22.33,22.88,6793700,22.4236
2015-09-15,22.085,22.425,21.75,22.315,6558400,21.8699
2015-09-14,22.09,22.39,21.815,22.055,5524900,21.615
2015-09-11,22.43,22.455,22.00,22.095,6305300,21.6542
2015-09-10,22.475,22.785,22.16,22.345,9071600,21.8993
2015-09-09,23.05,23.165,22.75,22.815,8316800,22.3599
2015-09-08,22.325,22.82,22.305,22.57,7316800,22.1198
